,Airline,Nflights
0,Southwest Airlines Co.,2633420
1,Delta Air Lines Inc.,1795276
2,SkyWest Airlines Inc.,1738959
3,American Airlines Inc.,1728311
4,United Air Lines Inc.,1067746
5,Republic Airlines,721307
6,Endeavor Air Inc.,606234
7,Envoy Air,595782
8,Comair Inc.,528072
9,JetBlue Airways,482978
10,Alaska Airlines Inc.,443191
11,Spirit Air Lines,441939
12,Mesa Airlines Inc.,351087
13,Frontier Airlines Inc.,305344
14,Allegiant Air,265948
15,Horizon Air,256155
16,Capital Cargo International,215465
17,Air Wisconsin Airlines Corp,166859
18,"Commutair Aka Champlain Enterprises, Inc.",147962
19,Hawaiian Airlines Inc.,140294
20,"GoJet Airlines, LLC d/b/a United Express",126773
21,ExpressJet Airlines Inc.,48071
22,Trans States Airlines,17045
23,Compass Airlines,14661
24,Empire Airlines Inc.,4839
