,Airline company,Average delay true,Average delay,Number of flights
0,JetBlue Airways,15.980308219178083,11.970034246575343,1168
1,Southwest Airlines Co.,13.384130579285555,11.846118811393684,247372
2,American Airlines Inc.,12.354118493604773,9.431698009475607,81238
3,SkyWest Airlines Inc.,11.96458640861626,8.89128533158384,3732
4,United Air Lines Inc.,11.059973800166727,7.877229963082053,83970
5,Envoy Air,9.494940551479889,6.326081457121174,7906
6,Delta Air Lines Inc.,8.892991613437129,6.293630009636845,7249
7,Republic Airlines,8.794327127327252,4.88485567912033,16006
8,Comair Inc.,8.238791557456201,4.229410953234929,279137
9,Endeavor Air Inc.,6.726420150053591,2.927116827438371,73164
